Country;2025 SDG Index Score;International Spillovers Score (0-100);Regional Score (0-100);Regions used for the SDR;Population in 2024;Progress on Headline SDGi (p.p.)
Finland;87;68.1;78.1;OECD;5547721;2.4
Sweden;85.7;63.1;78.1;OECD;10643147;1.7
Denmark;85.3;59.6;78.1;OECD;5925280;3.7
Germany;83.7;64.8;78.1;OECD;83276368;2.4
France;83.1;64.2;78.1;OECD;64820454;3.5
Austria;83;62.1;78.1;OECD;8968403;2.5
Norway;82.7;55.4;78.1;OECD;5494401;2.5
Croatia;82.4;74.1;72;E. Europe & C. Asia;3997689;4.1
Poland;82.1;77.5;78.1;OECD;40574528;5.1
Czechia;81.9;69.1;78.1;OECD;10500123;5.2
United Kingdom;81.9;56.2;78.1;OECD;67850038;3.5
Slovenia;81.2;62.8;78.1;OECD;2119450;2.9
Latvia;81.2;65.1;78.1;OECD;1820099;4.7
Spain;81;69.6;78.1;OECD;47498206;2.7
Iceland;80.8;55.1;78.1;OECD;376512;2.5
Slovak Republic;80.8;69.3;78.1;OECD;5742927;5
Estonia;80.8;56.3;78.1;OECD;1321007;5.5
Belgium;80.7;52.6;78.1;OECD;11701099;2.7
Japan;80.7;75.2;78.1;OECD;122963952;2
Portugal;80.6;71.4;78.1;OECD;10235702;2.9
Hungary;80.4;77.9;78.1;OECD;10066410;3.9
Italy;80.3;70.9;78.1;OECD;58785977;4.9
Netherlands;80;44.1;78.1;OECD;17645122;3.4
Malta;79.3;71.1;72;E. Europe & C. Asia;535932;4.6
Canada;79.2;69.6;78.1;OECD;38944775;2.1
Switzerland;79.2;42.1;78.1;OECD;8824412;2.4
Greece;79.1;71.5;78.1;OECD;10322224;3.8
New Zealand;79;68.3;78.1;OECD;5249306;
Lithuania;78.8;59.5;78.1;OECD;2705261;5.4
Moldova;78.8;90.2;72;E. Europe & C. Asia;3374213;9.3
Ireland;78.6;48.7;78.1;OECD;5073540;4.2
Belarus;78.5;84.3;72;E. Europe & C. Asia;9476465;5.9
Serbia;78.2;86.1;72;E. Europe & C. Asia;7117013;5
Korea, Rep.;78.1;71.7;78.1;OECD;51765524;3
Chile;78.1;86.9;78.1;OECD;19644142;5.9
Australia;77.9;68.5;78.1;OECD;26569652;3.1
Romania;77.7;78.7;72;E. Europe & C. Asia;19729864;5.9
Uruguay;77.4;92.8;70.3;LAC;3423247;7.9
Luxembourg;76.7;43.3;78.1;OECD;658259;5.2
Cuba;76.5;95.3;70.3;LAC;11185101;
Bulgaria;76.3;79.1;72;E. Europe & C. Asia;6645149;5
Ukraine;75.7;92;72;E. Europe & C. Asia;37419993;
Thailand;75.3;89.7;69.5;East & South Asia;71848750;7.1
United States;75.2;64.1;78.1;OECD;340912892;2.7
Albania;75.2;90.3;72;E. Europe & C. Asia;2828089;6.6
Argentina;74.8;95.6;70.3;LAC;45917069;5.4
Kyrgyz Republic;74.5;94.9;72;E. Europe & C. Asia;6787518;6.7
Israel;74.5;60.7;78.1;OECD;9243154;3.2
China;74.4;90.1;69.5;East & South Asia;1425493416;6
Armenia;74.3;90.2;72;E. Europe & C. Asia;2778229;10.4
Russian Federation;74.1;86.4;72;E. Europe & C. Asia;144194606;5.4
Dominican Republic;74.1;92;70.3;LAC;11384070;6.1
Maldives;74;97.8;69.5;East & South Asia;519398;
Brazil;73.8;96.5;70.3;LAC;217042670;4.6
Montenegro;73.8;84.7;72;E. Europe & C. Asia;626316;9
Cyprus;73.8;46.3;72;E. Europe & C. Asia;933505;4.3
Bosnia and Herzegovina;73.8;90.4;72;E. Europe & C. Asia;3200687;4.2
North Macedonia;73.7;85.1;72;E. Europe & C. Asia;2082702;7
Georgia;73.7;88.1;72;E. Europe & C. Asia;3721112;7.3
Costa Rica;73.4;82;78.1;OECD;5229751;7
Vietnam;73.4;89.9;69.5;East & South Asia;99186471;7.1
Uzbekistan;73.1;94.2;72;E. Europe & C. Asia;35425630;12.1
Fiji;72.9;95.2;53.4;Oceania;939685;3.4
Azerbaijan;72.9;91.7;72;E. Europe & C. Asia;10438765;4
Peru;72.7;94.6;70.3;LAC;34517972;8.7
Tunisia;72;92.8;65.6;MENA;12512909;2.4
Suriname;71.8;95.2;70.3;LAC;626036;
Morocco;71.7;94.3;65.6;MENA;38028616;7.3
Singapore;71.5;26.5;69.5;East & South Asia;6033970;
Kazakhstan;71.5;90.1;72;E. Europe & C. Asia;19712773;5.1
Jordan;71;88.8;65.6;MENA;11358558;6.7
Mexico;70.8;90.2;78.1;OECD;128927016;6.3
T³rkiye;70.6;87.2;78.1;OECD;86041549;3.7
Bhutan;70.5;81.8;69.5;East & South Asia;789904;7.5
Colombia;70.5;95.2;78.1;OECD;52211114;5.5
Mauritius;70.3;75.1;53.9;Sub-Saharan Africa;1301310;5.2
Indonesia;70.2;95.2;69.5;East & South Asia;278681856;7.6
Ecuador;70.1;95.4;70.3;LAC;18284414;2.8
Algeria;70.1;94.6;65.6;MENA;45950103;1.2
United Arab Emirates;69.8;54.4;65.6;MENA;9554746;9.9
Jamaica;69.8;87.3;70.3;LAC;2825324;5.8
Barbados;69.6;90.7;70.3;LAC;282161;
Iran, Islamic Rep.;69.6;87.4;65.6;MENA;89501036;2.8
Malaysia;69.5;85.5;69.5;East & South Asia;34492006;4.6
Nepal;68.6;94.8;69.5;East & South Asia;31069971;11.1
El Salvador;68.4;84.4;70.3;LAC;6380896;3.5
Philippines;68.3;96.1;69.5;East & South Asia;118223042;8.6
Tajikistan;68.3;94.4;72;E. Europe & C. Asia;10238043;6.5
Panama;68.2;69.1;70.3;LAC;4498294;4.8
Paraguay;68.1;94.3;70.3;LAC;6904806;4.8
Egypt, Arab Rep.;68.1;93.8;65.6;MENA;113585797;5.5
Brunei Darussalam;68;69;69.5;East & South Asia;454233;
Sri Lanka;67.9;95.1;69.5;East & South Asia;21922756;5.2
Bolivia;67.8;96.3;70.3;LAC;12477888;5.3
Cabo Verde;67.3;95.6;53.9;Sub-Saharan Africa;601568;
Turkmenistan;67.3;84.2;72;E. Europe & C. Asia;6557859;
Oman;67.1;77;65.6;MENA;4679453;
Belize;67;92.4;70.3;LAC;413752;
India;67;96.1;69.5;East & South Asia;1435228798;7.6
Mongolia;66.7;92.5;69.5;East & South Asia;3470939;7.7
Cambodia;66.4;95.5;69.5;East & South Asia;17034573;10
Guyana;66.3;80.9;70.3;LAC;816789;
Gabon;65.6;92.9;53.9;Sub-Saharan Africa;2460355;7
Namibia;65.5;92.3;53.9;Sub-Saharan Africa;2623501;6.7
Saudi Arabia;65.2;77.1;65.6;MENA;37212961;8.1
Bahamas, The;65.2;71.3;70.3;LAC;413926;
Qatar;65.1;48.8;65.6;MENA;2726868;
Nicaragua;64.8;94.3;70.3;LAC;7094831;5.1
Botswana;64.5;88.7;53.9;Sub-Saharan Africa;2697696;6.5
Bahrain;64.4;73.4;65.6;MENA;1492179;
South Africa;64.1;91.2;53.9;Sub-Saharan Africa;60688018;4.9
Sao Tome and Principe;63.9;90.3;53.9;Sub-Saharan Africa;234107;
Iraq;63.9;88.6;65.6;MENA;46013046;9.2
Bangladesh;63.9;96.3;69.5;East & South Asia;173833487;8.3
Venezuela, RB;63.8;90.8;70.3;LAC;29121265;-0.1
Myanmar;63.6;94.5;69.5;East & South Asia;54775126;
Senegal;63.5;96.2;53.9;Sub-Saharan Africa;17990095;11.7
Kuwait;63.3;70.8;65.6;MENA;4330169;6.1
Cote d'Ivoire;63.2;93.3;53.9;Sub-Saharan Africa;29235473;13
Ghana;63.1;94.5;53.9;Sub-Saharan Africa;34446735;8.6
Lao PDR;62.6;91.1;69.5;East & South Asia;7685577;5.9
Rwanda;62.3;93.8;53.9;Sub-Saharan Africa;14254354;8.7
Kenya;61.9;92.9;53.9;Sub-Saharan Africa;55646078;4.1
Lebanon;61.7;74.2;65.6;MENA;5282317;
Honduras;61.7;92.9;70.3;LAC;10676832;2
Trinidad and Tobago;60.6;97.9;70.3;LAC;1536717;
Guatemala;59.9;87.5;70.3;LAC;18218938;4.4
Sierra Leone;59.4;98;53.9;Sub-Saharan Africa;8884298;9.4
Togo;59.2;96.2;53.9;Sub-Saharan Africa;9156935;13.3
Gambia, The;58.4;95.3;53.9;Sub-Saharan Africa;2807242;3.3
Syrian Arab Republic;58.4;92.3;65.6;MENA;23793116;-1.2
Mauritania;57.9;93.5;53.9;Sub-Saharan Africa;4927373;6.4
Cameroon;57.8;95.2;53.9;Sub-Saharan Africa;29017725;7.6
Benin;57.8;95.6;53.9;Sub-Saharan Africa;13894291;14.5
Tanzania;57.7;95.5;53.9;Sub-Saharan Africa;68420314;5.7
Eswatini;57.5;87.7;53.9;Sub-Saharan Africa;1215756;12.8
Zimbabwe;57.4;93.8;53.9;Sub-Saharan Africa;16842685;4.5
Guinea;57.2;94.9;53.9;Sub-Saharan Africa;14357636;8.7
Malawi;57.1;96.8;53.9;Sub-Saharan Africa;21199112;6.3
Pakistan;57;94.8;69.5;East & South Asia;242845202;2.5
Mali;56.3;96.3;53.9;Sub-Saharan Africa;23648883;8.8
Uganda;55.8;96.2;53.9;Sub-Saharan Africa;49249695;5.8
Lesotho;55.6;95.2;53.9;Sub-Saharan Africa;2343297;
Burundi;55.5;94.9;53.9;Sub-Saharan Africa;13413835;2.5
Ethiopia;55.4;95.7;53.9;Sub-Saharan Africa;128116861;7.9
Zambia;54.8;97.5;53.9;Sub-Saharan Africa;20849863;7.1
Nigeria;54.7;97;53.9;Sub-Saharan Africa;226455272;1.8
Comoros;54.7;88.6;53.9;Sub-Saharan Africa;859848;
Djibouti;54.3;80;53.9;Sub-Saharan Africa;1144359;9.5
Burkina Faso;53.8;95.5;53.9;Sub-Saharan Africa;23543454;7.6
Mozambique;53.7;97.5;53.9;Sub-Saharan Africa;34374089;7.1
Papua New Guinea;53.4;94.3;53.4;Oceania;10423036;1.4
Guinea-Bissau;53.1;89.1;53.9;Sub-Saharan Africa;2173642;
Congo, Rep.;52.8;89.4;53.9;Sub-Saharan Africa;6175442;7.7
Angola;52.8;95.4;53.9;Sub-Saharan Africa;37240003;3.8
Haiti;52.5;94.9;70.3;LAC;11795579;3.7
Liberia;52.5;91.9;53.9;Sub-Saharan Africa;5477244;4.6
Madagascar;51;97.8;53.9;Sub-Saharan Africa;30688119;1.9
Niger;50.3;95.1;53.9;Sub-Saharan Africa;27709590;9.1
Afghanistan;49.1;92.5;72;E. Europe & C. Asia;42802656;0.8
Sudan;49.1;93.3;53.9;Sub-Saharan Africa;48731103;5.3
Congo, Dem. Rep.;48.2;94.9;53.9;Sub-Saharan Africa;103919051;5.1
Yemen, Rep.;47.7;94.9;65.6;MENA;34828743;-1.8
Somalia;46.1;89.1;53.9;Sub-Saharan Africa;18421727;
Chad;46;94;53.9;Sub-Saharan Africa;18559768;6.7
Central African Republic;45.2;94.2;53.9;Sub-Saharan Africa;5826639;5.5
South Sudan;41.6;90.6;53.9;Sub-Saharan Africa;11180797;1.4
